Year,WOY,Location_Name,Flower_Richness,CollMeth,bee_richness,Season,totnumb,GenusName,bee_abund,pres,obs
2015,17,MPG105,8,n,1,Early,9,Andrena,6,1,1198
2015,17,MPG105,8,n,1,Early,9,Anthophora,0,0,1199
2015,17,MPG105,8,n,1,Early,9,Bombus,0,0,1200
2015,17,MPG105,8,n,1,Early,9,Halictus,0,0,1201
2015,17,MPG105,8,n,1,Early,9,Lasioglossum,1,1,1202
2015,17,MPG105,8,n,1,Early,9,Nomada,1,1,1203
2015,17,MPG105,8,n,1,Early,9,Osmia,0,0,1204
2015,17,MPG105,8,n,1,Early,9,Sphecodes,1,1,1205
2015,17,MPG105,8,n,1,Early,9,Apis,0,0,1206
2015,17,MPG105,8,pt,1,Early,146,Andrena,42,1,1207
2015,17,MPG105,8,pt,1,Early,146,Anthophora,0,0,1208
2015,17,MPG105,8,pt,1,Early,146,Bombus,0,0,1209
2015,17,MPG105,8,pt,1,Early,146,Halictus,28,1,1210
2015,17,MPG105,8,pt,1,Early,146,Lasioglossum,69,1,1211
2015,17,MPG105,8,pt,1,Early,146,Nomada,1,1,1212
2015,17,MPG105,8,pt,1,Early,146,Osmia,6,1,1213
2015,17,MPG105,8,pt,1,Early,146,Sphecodes,0,0,1214
2015,17,MPG105,8,pt,1,Early,146,Apis,0,0,1215
2015,17,MPG106,5,n,1,Early,9,Andrena,7,1,1216
2015,17,MPG106,5,n,1,Early,9,Anthophora,1,1,1217
2015,17,MPG106,5,n,1,Early,9,Bombus,0,0,1218
2015,17,MPG106,5,n,1,Early,9,Halictus,0,0,1219
2015,17,MPG106,5,n,1,Early,9,Lasioglossum,0,0,1220
2015,17,MPG106,5,n,1,Early,9,Nomada,1,1,1221
2015,17,MPG106,5,n,1,Early,9,Osmia,0,0,1222
2015,17,MPG106,5,n,1,Early,9,Sphecodes,0,0,1223
2015,17,MPG106,5,n,1,Early,9,Apis,0,0,1224
2015,17,MPG106,5,pt,1,Early,78,Andrena,27,1,1225
2015,17,MPG106,5,pt,1,Early,78,Anthophora,0,0,1226
2015,17,MPG106,5,pt,1,Early,78,Bombus,0,0,1227
2015,17,MPG106,5,pt,1,Early,78,Halictus,8,1,1228
2015,17,MPG106,5,pt,1,Early,78,Lasioglossum,37,1,1229
2015,17,MPG106,5,pt,1,Early,78,Nomada,3,1,1230
2015,17,MPG106,5,pt,1,Early,78,Osmia,3,1,1231
2015,17,MPG106,5,pt,1,Early,78,Sphecodes,0,0,1232
2015,17,MPG106,5,pt,1,Early,78,Apis,0,0,1233
2015,17,MPG108,2,pt,1,Early,435,Andrena,8,1,1234
2015,17,MPG108,2,pt,1,Early,435,Anthophora,0,0,1235
2015,17,MPG108,2,pt,1,Early,435,Bombus,1,1,1236
2015,17,MPG108,2,pt,1,Early,435,Halictus,78,1,1237
2015,17,MPG108,2,pt,1,Early,435,Lasioglossum,347,1,1238
2015,17,MPG108,2,pt,1,Early,435,Nomada,0,0,1239
2015,17,MPG108,2,pt,1,Early,435,Osmia,1,1,1240
2015,17,MPG108,2,pt,1,Early,435,Sphecodes,0,0,1241
2015,17,MPG108,2,pt,1,Early,435,Apis,0,0,1242
2015,17,MPG143,6,n,1,Early,7,Andrena,3,1,1243
2015,17,MPG143,6,n,1,Early,7,Anthophora,3,1,1244
2015,17,MPG143,6,n,1,Early,7,Bombus,0,0,1245
2015,17,MPG143,6,n,1,Early,7,Halictus,0,0,1246
2015,17,MPG143,6,n,1,Early,7,Lasioglossum,0,0,1247
2015,17,MPG143,6,n,1,Early,7,Nomada,1,1,1248
2015,17,MPG143,6,n,1,Early,7,Osmia,0,0,1249
2015,17,MPG143,6,n,1,Early,7,Sphecodes,0,0,1250
2015,17,MPG143,6,n,1,Early,7,Apis,0,0,1251
2015,17,MPG143,6,pt,1,Early,147,Andrena,50,1,1252
2015,17,MPG143,6,pt,1,Early,147,Anthophora,0,0,1253
2015,17,MPG143,6,pt,1,Early,147,Bombus,0,0,1254
2015,17,MPG143,6,pt,1,Early,147,Halictus,42,1,1255
2015,17,MPG143,6,pt,1,Early,147,Lasioglossum,49,1,1256
2015,17,MPG143,6,pt,1,Early,147,Nomada,3,1,1257
2015,17,MPG143,6,pt,1,Early,147,Osmia,3,1,1258
2015,17,MPG143,6,pt,1,Early,147,Sphecodes,0,0,1259
