Year,WOY,bee_richness_pt,bee_richness_n,bee_abund_pt,bee_abund_n
2015,17,88,27,6987,56
2015,19,81,6,3119,10
2015,21,91,30,3467,70
2015,24,81,30,2044,129
2015,27,82,26,3821,62
2015,30,76,12,6785,37
2015,33,41,13,2107,35
2015,36,39,11,2228,38
2015,39,37,7,1156,19
2016,16,64,19,4754,49
2016,18,62,25,2928,57
2016,21,72,29,1367,69
2016,24,54,21,399,58
2016,27,80,27,1687,63
2016,30,68,24,5967,61
2016,33,46,7,2387,39
2016,36,45,16,3195,88
2017,18,93,21,4888,55
2017,21,70,18,998,49
2017,25,80,15,897,27
2017,28,75,19,4079,34
2017,31,53,13,3741,28
2017,34,69,12,4434,37
