Date,Species,Family,Sex,Age,Repro,RFA,Mass,Head.height,Head.length,Head.width,CM3,pl.dist,1,2,3,4,5,6,MaxBF,MaxBF.N 
7-Feb-09,Kein,Vespertilionidae,M,A,,27,2.5,7.8,13.2,8.4,5,2.5,8.1,8,8,8.1,9.3,7.3,9.3,0.56
7-Feb-09,Rhst,Rhinolophidae,M,A,,46,8.5,11.8,20.8,12.3,8.5,4,22.4,19.1,19,16.8,15.8,11.9,22.4,1.9
8-Feb-09,Kein,Vespertilionidae,M,A,,27.9,2.5,6.7,13,7.5,4.9,2.5,6.8,6.4,8,8.6,9,7.9,9,0.53
8-Feb-09,Kein,Vespertilionidae,M,A,,28.2,2.5,7.9,13.8,8.4,5,2.5,8.3,11.4,10,8.3,9.4,8.8,11.4,0.77
8-Feb-09,Kepa,Vespertilionidae,F,A,PL,41.3,10,11.2,20.2,13.5,7.9,3.5,47.4,45,50.4,52.6,45.9,43.4,52.6,4.99
8-Feb-09,Musu,Vespertilionidae,M,A,,31.9,4.25,8.6,15.5,9.9,5,2.5,40.9,46.1,35.5,35.1,40.5,41.1,46.1,4.33
8-Feb-09,Rhle,Rhinolophidae,F,A,NR,39.4,6,9.1,18,9.5,6.7,3,16.5,13.4,12.1,16.4,13.1,10.1,16.5,1.3
8-Feb-09,Rhst,Rhinolophidae,F,A,NR,43.9,7.5,10.4,20.5,11.2,7.65,3.5,12,13.1,18,15.9,16.1,16.3,18,1.45
8-Feb-09,Rhst,Rhinolophidae,M,A,,48.2,9.5,10,20,12.1,8.35,4,17,22.8,16.4,18.8,23,22.5,23,1.96
9-Feb-09,Hice,Hipposideridae,F,A,NR,49.2,10,11,20.1,12.5,7,3,41.5,44.4,44.9,45.6,38.4,35.1,45.6,4.28
9-Feb-09,Hice,Hipposideridae,F,A,NR,49.4,10,10.9,19,12.3,7.2,3,45.3,48.4,43.2,42.3,43.5,43.8,48.4,4.56
9-Feb-09,Hice,Hipposideridae,F,A,NR,48.8,10,10.4,20,12.4,7.25,3,43.9,44.5,44,47.9,45.4,43.9,47.9,4.51
9-Feb-09,Hice,Hipposideridae,F,A,NR,51.3,11.5,11.2,19.8,12.6,7.2,3,42.5,42.3,43.6,46.8,41.8,43.4,46.8,4.4
9-Feb-09,Hidi,Hipposideridae,F,A,PL,87.2,39,17.5,34.5,20.3,13.2,6,157.4,170.9,196,154.5,154.5,203.1,203.1,20.41
9-Feb-09,Hidi,Hipposideridae,M,A,,86.3,47,17.7,33.4,22.2,12.9,5.5,201.9,211.6,213.5,206.6,214,199.6,214,21.53
9-Feb-09,Hidi,Hipposideridae,F,A,PL,82.3,51,17.5,33.7,20.3,13.4,6,195.5,184.6,203.1,249,227.8,204,249,25.12
9-Feb-09,Kein,Vespertilionidae,M,A,,27.3,2.5,7.5,13.8,8,4.6,2.5,4.8,5,7.9,6.6,7.8,5.5,7.9,0.41
9-Feb-09,Mucy,Vespertilionidae,F,A,,37.7,9.5,11.6,20.5,13.4,6.7,3,15.8,3.6,96,3.5,6.4,2.9,96,9.44
9-Feb-09,Rhst,Rhinolophidae,M,A,,46.3,8.5,11.9,20.6,12.6,8.1,3.5,22.8,24.9,27.4,33.5,30.4,27.8,33.5,3.04
12-Feb-09,Hibi142,Hipposideridae,F,A,PL,43.7,8.5,11.2,18.6,12,6.9,3,32.5,32,28.4,26.8,21.8,32,32.5,2.94
12-Feb-09,Hiri,Hipposideridae,M,A,,48.7,8.5,9.2,19.2,10.6,7.6,3.5,32.4,42.3,38.8,33.3,33.1,34.3,42.3,3.94
12-Feb-09,Kein,Vespertilionidae,M,A,,27.8,3,7.2,13.8,7.9,5.1,2.5,12,8.8,7.9,11.8,9.6,7.6,12,0.84
12-Feb-09,Rhtr,Rhinolophidae,F,A,PL,52.3,15,14.6,24.9,14.8,9.3,4,73.5,66.9,67.1,66.5,67.8,64,73.5,7.14
15-Feb-09,Kein,Vespertilionidae,F,A,PL,29.5,3.5,6.7,13.8,7,5.2,2.5,8.8,12.4,9.4,9.1,11.1,9.8,12.4,0.88
15-Feb-09,Kein,Vespertilionidae,F,A,PL,29.5,3.5,7,14.2,7.3,5.4,2.5,8.1,8.5,10.5,10.6,8.9,9.6,10.6,0.69
15-Feb-09,Kein,Vespertilionidae,M,A,,27.9,3,6.9,13.6,7.8,5.2,2.5,12,13.5,12.3,12.3,11.5,12,13.5,0.99
15-Feb-09,Kepa,Vespertilionidae,F,A,,41.8,9.5,12,19.1,13,7.8,3.5,59,57,51,50.9,55.1,45.4,59,5.65
15-Feb-09,Kepe,Vespertilionidae,M,A,,29.6,4.5,9,14.8,10.9,6.3,3,12.9,13.1,14.3,12.6,12.1,13.4,14.3,1.07
15-Feb-09,Musu,Vespertilionidae,F,A,PL,31.7,4,8.8,15.8,8.3,5.1,2.5,41.1,40.3,46.9,43.3,46,47,47,4.42
16-Feb-09,Kepa,Vespertilionidae,F,A,P?,41.4,11,12,19.5,14,7.8,3.5,80,86.4,79,86.5,81,88.9,88.9,8.71
16-Feb-09,Kepa,Vespertilionidae,M,A,,41,8.5,11.3,19.8,12.1,7.8,3.5,61.6,70.4,61.5,64,67.8,67,70.4,6.82
17-Feb-09,Kekr,Vespertilionidae,F,A,PL,30.5,3.5,8.5,14,9.2,5.4,2.5,20.9,15.9,18.4,23.3,22.3,18.9,23.3,1.99
17-Feb-09,Rhle,Rhinolophidae,F,A,R,40.8,6,8.2,17.8,9.2,7.1,3,15.9,13.6,17.1,14.8,14.1,16.9,17.1,1.36
17-Feb-09,Rhst,Rhinolophidae,M,A,,44.9,9.25,10.3,19.8,12.2,8,3.5,43.6,50.6,46.3,48,45.3,52.5,52.5,4.98
17-Feb-09,Rhst,Rhinolophidae,M,A,,45.3,8.5,10.2,20.8,12.1,8.6,3.5,33.1,34.9,32,34.5,32,33.2,34.9,3.18
18-Feb-09,Hibi131,Hipposideridae,M,A,,45.5,7.5,10,19.6,12.6,6.9,3,38.6,34,34.4,36.9,36.5,35.6,38.6,3.56
18-Feb-09,Hibi142,Hipposideridae,F,A,ND,42.8,8.5,10.4,19.4,11.6,6.8,3,32,36.4,36.4,38.4,38,39,39,3.6
18-Feb-09,Hibi142,Hipposideridae,M,A,,41.9,8.5,10.6,19.3,12.7,6.7,3,32.5,32,32,29.4,29.3,29.3,32.5,2.94
18-Feb-09,Kepe,Vespertilionidae,M,A,,31.4,4.5,10.3,15,9.5,6.2,3,21.1,19.4,18.8,19.6,19.9,18.6,21.1,1.77
18-Feb-09,Kepe,Vespertilionidae,M,A,,29.7,4.5,8.2,16.1,9.9,6.2,3,14.6,13.8,16.1,13.5,14.2,15,16.1,1.26
18-Feb-09,Nytr,Nycteridae,F,A,P,50.7,20.75,12,24,15.9,8.9,4,80.9,67.4,85.9,65.9,64.9,74.1,85.9,8.41
18-Feb-09,Rhle,Rhinolophidae,F,A,PL,39.6,5.5,8.1,17.8,9.2,6.7,3,14.6,17.9,16.6,16.4,14.8,14.8,17.9,1.44
22-Feb-09,Hila,Hipposideridae,F,A,ND,58.8,16,11.8,23.4,14,9.7,4,96.1,97,91.3,96.4,101.1,96.8,101.1,9.96
22-Feb-09,Hila,Hipposideridae,F,A,ND,59.6,17.5,11.9,23,13.6,9.5,4,100.8,118.3,104.5,111.6,103.8,91.4,118.3,11.73
22-Feb-09,Hiri,Hipposideridae,F,A,ND,48.1,9.5,10.1,21.6,10.3,7.5,3.5,34.6,35.4,34.4,35.8,35.9,37,37,3.4
22-Feb-09,Kein,Vespertilionidae,F,A,PL,29.1,3.25,7.5,14.5,8.7,5,2.5,12.9,13.5,14.8,13.6,13.8,13.4,14.8,1.12
22-Feb-09,Kein,Vespertilionidae,F,A,PL,31.1,4.5,7.7,13.3,8,5.2,2.5,13.1,13.9,14.4,11.9,13.1,12.3,14.4,1.08
22-Feb-09,Kein,Vespertilionidae,F,A,PL,28.1,2.75,6.5,11,7.5,5,2.5,14.5,11.9,11.9,14.3,11.5,11.3,14.5,1.09
24-Feb-09,Hice,Hipposideridae,F,A,NR,50.1,9.25,11.6,19.5,12.5,7.8,3.5,39.4,37,38.3,37.4,36.4,36.1,39.4,3.64
24-Feb-09,Hice,Hipposideridae,F,A,PL,50.4,11.5,11.6,20.4,12,7.5,3.5,40.5,40,43,39.6,42.3,43.4,43.4,4.05
